"2025–26 ISIR Record Layout 
800,N/A,5534,5541,8,None,NSLDS Loan Period End Date (4),"Numeric (CCYYMMDD)
N/A
Blank",
801,N/A,5542,5544,3,None,NSLDS Loan Guaranty Agency Code (4),"Numeric
N/A
Blank",
802,N/A,5545,5547,3,None,NSLDS Loan Contact Type (4),"Alpha
N/A
Blank",
803,N/A,5548,5555,8,None,NSLDS Loan School Code (4),"Alphanumeric
N/A
Blank",
804,N/A,5556,5563,8,None,NSLDS Loan Contact Code (4),"Alphanumeric
N/A
Blank",
805,N/A,5564,5566,3,None,NSLDS Loan Grade Level (4),"Alphanumeric
N/A
Blank",
806,N/A,5567,5567,1,None,NSLDS Loan Additional Unsubsidized Flag (4),"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
807,N/A,5568,5568,1,None,NSLDS Loan Capitalized Interest Flag (4),"Y = Yes 
N = No
Blank",
808,N/A,5569,5574,6,None,NSLDS Loan Disbursement Amount (4),"000000 to 999999
N/A
Blank",
809,N/A,5575,5582,8,None,NSLDS Loan Disbursement Date (4),"Numeric (CCYYMMDD)
N/A
Blank",
810,N/A,5583,5583,1,None,NSLDS Loan Confirmed Loan Subsidy Status (4),"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
811,N/A,5584,5591,8,Revised the field name,NSLDS Loan Subsidy Status Date (4),"Numeric (CCYYMMDD)
N/A
Blank",
812,N/A,5592,5611,20,None,Filler,For Federal Student Aid use only,
813,N/A,5612,5613,2,None,NSLDS Loan Sequence Number (5),"01 to 06
Blank",
814,N/A,5614,5614,1,None,NSLDS Loan Defaulted Recent Indicator (5),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
815,N/A,5615,5615,1,None,NSLDS Loan Change Flag (5),"# = Changed
N = Did not change
Blank",
816,N/A,5616,5617,2,None,NSLDS Loan Type Code (5),"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
817,N/A,5618,5623,6,None,NSLDS Loan Net Amount (5),"000000 to 999999
Blank",
818,N/A,5624,5625,2,None,NSLDS Loan Current Status Code (5),"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
819,N/A,5626,5633,8,None,NSLDS Loan Current Status Date (5),"Format is CCYYMMDD
N/A
Blank",
820,N/A,5634,5639,6,None,NSLDS Loan Outstanding Principal Balance (5),"000000 to 999999
N/A
Blank",
821,N/A,5640,5647,8,None,NSLDS Loan Outstanding Principal Balance Date (5),"Numeric (CCYYMMDD)
N/A
Blank",
822,N/A,5648,5655,8,None,NSLDS Loan Period Begin Date (5),"Numeric (CCYYMMDD)
N/A
Blank",
823,N/A,5656,5663,8,None,NSLDS Loan Period End Date (5),"Numeric (CCYYMMDD)
N/A
Blank",
824,N/A,5664,5666,3,None,NSLDS Loan Guaranty Agency Code (5),"Numeric
N/A
Blank",
825,N/A,5667,5669,3,None,NSLDS Loan Contact Type (5),"Alpha
N/A
Blank",
826,N/A,5670,5677,8,None,NSLDS Loan School Code (5),"Alphanumeric
N/A
Blank",
827,N/A,5678,5685,8,None,NSLDS Loan Contact Code (5),"Alphanumeric
N/A
Blank",
828,N/A,5686,5688,3,None,NSLDS Loan Grade Level (5),"Alphanumeric
N/A
Blank",
829,N/A,5689,5689,1,None,NSLDS Loan Additional Unsubsidized Flag (5),"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
830,N/A,5690,5690,1,None,NSLDS Loan Capitalized Interest Flag (5),"Y = Yes 
N = No
Blank",
831,N/A,5691,5696,6,None,NSLDS Loan Disbursement Amount (5),"000000 to 999999
N/A
Blank",
832,N/A,5697,5704,8,None,NSLDS Loan Disbursement Date (5),"Numeric (CCYYMMDD)
N/A
Blank",
833,N/A,5705,5705,1,None,NSLDS Loan Confirmed Loan Subsidy Status (5),"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
834,N/A,5706,5713,8,Revised the field name,NSLDS Loan Subsidy Status Date (5),"Numeric (CCYYMMDD)
N/A
Blank",
835,N/A,5714,5733,20,None,Filler,For Federal Student Aid use only,
836,N/A,5734,5735,2,None,NSLDS Loan Sequence Number (6),"01 to 06
Blank",
837,N/A,5736,5736,1,None,NSLDS Loan Defaulted Recent Indicator (6),"D = Defaulted
R = Recent
T = Discharged
F = Fraud
Blank",
838,N/A,5737,5737,1,None,NSLDS Loan Change Flag (6),"# = Changed
N = Did not change
Blank",
839,N/A,5738,5739,2,None,NSLDS Loan Type Code (6),"Alpha Code
Blank

See “NSLDS Loan Program Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
840,N/A,5740,5745,6,None,NSLDS Loan Net Amount (6),"000000 to 999999
Blank",
841,N/A,5746,5747,2,None,NSLDS Loan Current Status Code (6),"Alpha Code
Blank

See “NSLDS Loan Current Status Codes” in the FAFSA® Specifications Guide, Volume 4B, Processing Codes",
842,N/A,5748,5755,8,None,NSLDS Loan Current Status Date (6),"Format is CCYYMMDD
N/A
Blank",
843,N/A,5756,5761,6,None,NSLDS Loan Outstanding Principal Balance (6),"000000 to 999999
N/A
Blank",
844,N/A,5762,5769,8,None,NSLDS Loan Outstanding Principal Balance Date (6),"Numeric (CCYYMMDD)
N/A
Blank",
845,N/A,5770,5777,8,None,NSLDS Loan Period Begin Date (6),"Numeric (CCYYMMDD)
N/A
Blank",
846,N/A,5778,5785,8,None,NSLDS Loan Period End Date (6),"Numeric (CCYYMMDD)
N/A
Blank",
847,N/A,5786,5788,3,None,NSLDS Loan Guaranty Agency Code (6),"Numeric
N/A
Blank",
848,N/A,5789,5791,3,None,NSLDS Loan Contact Type (6),"Alpha
N/A
Blank",
849,N/A,5792,5799,8,None,NSLDS Loan School Code (6),"Alphanumeric
N/A
Blank",
850,N/A,5800,5807,8,None,NSLDS Loan Contact Code (6),"Alphanumeric
N/A
Blank",
851,N/A,5808,5810,3,None,NSLDS Loan Grade Level (6),"Alphanumeric
N/A
Blank",
852,N/A,5811,5811,1,None,NSLDS Loan Additional Unsubsidized Flag (6),"P = PLUS denial
H = Health professional
B = Both
N = Neither
Blank",
853,N/A,5812,5812,1,None,NSLDS Loan Capitalized Interest Flag (6),"Y = Yes 
N = No
Blank",
854,N/A,5813,5818,6,None,NSLDS Loan Disbursement Amount (6),"000000 to 999999
N/A
Blank",
855,N/A,5819,5826,8,None,NSLDS Loan Disbursement Date (6),"Numeric (CCYYMMDD)
N/A
Blank",
856,N/A,5827,5827,1,None,NSLDS Loan Confirmed Loan Subsidy Status (6),"L = Lost Subsidy
R = Reinstated Subsidy
N = Not Applicable
Blank",
857,N/A,5828,5835,8,Revised the field name,NSLDS Loan Subsidy Status Date (6),"Numeric (CCYYMMDD)
N/A
Blank",
858,N/A,5836,6999,1164,None,Filler,For Federal Student Aid use only,
FTIM Information ,,,,,,,,
859,N/A,7000,7035,36,None,Filler,For Federal Student Aid use only,
Student FTI-M Information,,,,,,,,
860,N/A,7036,7085,50,None,Filler,For Federal Student Aid use only,
861,N/A,7086,7096,11,None,FTI label start,"Exact string: “CUI//SP-TAX”
Blank",
862,N/A,7097,7100,4,None,Returned tax year,"Year in format: “CCYY”
Blank",
863,N/A,7101,7101,1,None,Filing status code,"1 = Single
2 = Married–Filed Joint Return
3 = Married–Filed Separate Return
4 = Head of Household
5 = Qualifying Surviving Spouse 
Blank",
864,N/A,7102,7111,10,None,Adjusted Gross Income,"-999999999 to 9999999999
Blank",
865,N/A,7112,7113,2,None,Number of exemptions,"0 to 99
Blank",
866,N/A,7114,7115,2,None,Number of dependents,"0 to 99
Blank",
867,N/A,7116,7126,11,None,Total income earned amount,"0 to 99999999999
Blank",
868,N/A,7127,7135,9,Revised the field name,Income Tax Paid,"0 to 999999999
Blank",
869,N/A,7136,7144,9,Revised the field name,Education credits,"0 to 999999999
Blank",
870,N/A,7145,7155,11,None,Untaxed IRA distributions,"0 to 99999999999
Blank",
871,N/A,7156,7166,11,None,IRA deductible and payments,"0 to 99999999999
Blank",
872,N/A,7167,7177,11,None,Tax exempt interest,"0 to 99999999999
Blank",
873,N/A,7178,7188,11,None,Untaxed pensions amount,"0 to 99999999999
Blank",
874,N/A,7189,7200,12,None,Schedule C net profit/loss,"-99999999999 to 99999999999
Blank",
875,N/A,7201,7201,1,None,Schedule A indicator,"1 = Yes
2 = No
Blank",
876,N/A,7202,7202,1,None,Schedule B indicator,"1 = Yes
2 = No
Blank",
877,N/A,7203,7203,1,None,Schedule D indicator,"1 = Yes
2 = No
Blank",
878,N/A,7204,7204,1,None,Schedule E indicator,"1 = Yes
2 = No
Blank",
879,N/A,7205,7205,1,None,Schedule F indicator,"1 = Yes
2 = No
Blank",
880,N/A,7206,7206,1,None,Schedule H indicator,"1 = Yes
2 = No
Blank",
881,N/A,7207,7209,3,None,IRS response code,"200 = Successful Request
203 = PII Match Failed
206 = Partial Delivery of Content
212 = Cannot Verify Return Data
214 = No Return on File
Blank",
Student Spouse FTI-M Information,,,,,,,,
882,N/A,7210,7213,4,None,Returned tax year,"Year in format: “CCYY”
Blank",
883,N/A,7214,7214,1,None,Filing status code,"1 = Single
2 = Married–Filed Joint Return
3 = Married–Filed Separate Return
4 = Head of Household
5 = Qualifying Surviving Spouse 
Blank",
884,N/A,7215,7224,10,None,Adjusted Gross Income,"-999999999 to 9999999999
Blank",
885,N/A,7225,7226,2,None,Number of exemptions,"0 to 99
Blank",
886,N/A,7227,7228,2,None,Number of dependents,"0 to 99
Blank",
887,N/A,7229,7239,11,None,Total income earned amount,"0 to 99999999999
Blank",
888,N/A,7240,7248,9,Revised the field name,Income Tax Paid,"0 to 999999999
Blank",
889,N/A,7249,7257,9,Revised the field name,Education credits,"0 to 999999999
Blank",
890,N/A,7258,7268,11,None,Untaxed IRA distributions,"0 to 99999999999
Blank",
891,N/A,7269,7279,11,None,IRA deductible and payments,"0 to 99999999999
Blank",
892,N/A,7280,7290,11,None,Tax exempt interest,"0 to 99999999999
Blank",
893,N/A,7291,7301,11,None,Untaxed pensions amount,"0 to 99999999999
Blank",
894,N/A,7302,7313,12,None,Schedule C net profit/loss,"-99999999999 to 99999999999
Blank",
895,N/A,7314,7314,1,None,Schedule A indicator,"1 = Yes
2 = No
Blank",
896,N/A,7315,7315,1,None,Schedule B indicator,"1 = Yes
2 = No
Blank",
897,N/A,7316,7316,1,None,Schedule D indicator,"1 = Yes
2 = No
Blank",
898,N/A,7317,7317,1,None,Schedule E indicator,"1 = Yes
2 = No
Blank",
899,N/A,7318,7318,1,None,Schedule F indicator,"1 = Yes
2 = No
Blank",
900,N/A,7319,7319,1,None,Schedule H indicator,"1 = Yes
2 = No
Blank",
901,N/A,7320,7322,3,None,IRS response code,"200 = Successful Request
203 = PII Match Failed
206 = Partial Delivery of Content
212 = Cannot Verify Return Data
214 = No Return on File
Blank",
Parent FTI-M Information ,,,,,,,,
902,N/A,7323,7326,4,None,Returned tax year,"Year in format: “CCYY”
Blank",
903,N/A,7327,7327,1,None,Filing status code,"1 = Single
2 = Married–Filed Joint Return
3 = Married–Filed Separate Return
4 = Head of Household
5 = Qualifying Surviving Spouse 
Blank",
904,N/A,7328,7337,10,None,Adjusted Gross Income,"-999999999 to 9999999999
Blank",
905,N/A,7338,7339,2,None,Number of exemptions,"0 to 99
Blank",
906,N/A,7340,7341,2,None,Number of dependents,"0 to 99
Blank",
907,N/A,7342,7352,11,None,Total income earned amount,"0 to 99999999999
Blank",
908,N/A,7353,7361,9,Revised the field name,Income Tax Paid,"0 to 999999999
Blank",
909,N/A,7362,7370,9,Revised the field name,Education credits,"0 to 999999999
Blank",
910,N/A,7371,7381,11,None,Untaxed IRA distributions,"0 to 99999999999
Blank",
911,N/A,7382,7392,11,None,IRA deductible and payments,"0 to 99999999999
Blank",
912,N/A,7393,7403,11,None,Tax exempt interest,"0 to 99999999999
Blank",
913,N/A,7404,7414,11,None,Untaxed pensions amount,"0 to 99999999999
Blank",
914,N/A,7415,7426,12,None,Schedule C net profit/loss,"-99999999999 to 99999999999
Blank",
915,N/A,7427,7427,1,None,Schedule A indicator,"1 = Yes
2 = No
Blank",
916,N/A,7428,7428,1,None,Schedule B indicator,"1 = Yes
2 = No
Blank",
917,N/A,7429,7429,1,None,Schedule D indicator,"1 = Yes
2 = No
Blank",
918,N/A,7430,7430,1,None,Schedule E indicator,"1 = Yes
2 = No
Blank",
919,N/A,7431,7431,1,None,Schedule F indicator,"1 = Yes
2 = No
Blank",
920,N/A,7432,7432,1,None,Schedule H indicator,"1 = Yes
2 = No
Blank",
921,N/A,7433,7435,3,None,IRS response code,"200 = Successful Request
203 = PII Match Failed
206 = Partial Delivery of Content
212 = Cannot Verify Return Data
214 = No Return on File
Blank",
Parent Spouse or Partner FTI-M Information,,,,,,,,
922,N/A,7436,7439,4,None,Returned tax year,"Year in format: “CCYY”
Blank",
923,N/A,7440,7440,1,None,Filing status code,"1 = Single
2 = Married–Filed Joint Return
3 = Married–Filed Separate Return
4 = Head of Household
5 = Qualifying Surviving Spouse 
Blank",
924,N/A,7441,7450,10,None,Adjusted Gross Income,"-999999999 to 9999999999
Blank",
925,N/A,7451,7452,2,None,Number of exemptions,"0 to 99
Blank",
926,N/A,7453,7454,2,None,Number of dependents,"0 to 99
Blank",
927,N/A,7455,7465,11,None,Total income earned amount,"0 to 99999999999
Blank",
928,N/A,7466,7474,9,Revised the field name,Income Tax Paid,"0 to 999999999
Blank",
929,N/A,7475,7483,9,Revised the field name,Education credits,"0 to 999999999
Blank",
930,N/A,7484,7494,11,None,Untaxed IRA distributions,"0 to 99999999999
Blank",
931,N/A,7495,7505,11,None,IRA deductible and payments,"0 to 99999999999
Blank",
932,N/A,7506,7516,11,None,Tax exempt interest,"0 to 99999999999
Blank",
933,N/A,7517,7527,11,None,Untaxed pensions amount,"0 to 99999999999
Blank",
934,N/A,7528,7539,12,None,Schedule C net profit/loss,"-99999999999 to 99999999999
Blank",
935,N/A,7540,7540,1,None,Schedule A indicator,"1 = Yes
2 = No
Blank",
936,N/A,7541,7541,1,None,Schedule B indicator,"1 = Yes
2 = No
Blank",
937,N/A,7542,7542,1,None,Schedule D indicator,"1 = Yes
2 = No
Blank",
938,N/A,7543,7543,1,None,Schedule E indicator,"1 = Yes
2 = No
Blank",
939,N/A,7544,7544,1,None,Schedule F indicator,"1 = Yes
2 = No
Blank",
940,N/A,7545,7545,1,None,Schedule H indicator,"1 = Yes
2 = No
Blank",
941,N/A,7546,7548,3,None,IRS response code,"200 = Successful Request
203 = PII Match Failed
206 = Partial Delivery of Content
212 = Cannot Verify Return Data
214 = No Return on File
Blank",
942,N/A,7549,7559,11,None,FTI label end,"Exact string: “CUI//SP-TAX”
Blank",
943,N/A,7560,7609,50,None,Filler,For Federal Student Aid use only,
Total Income Information,,,,,,,,
944,N/A,7610,7624,15,None,Student total income,"-99999999999999 to 999999999999999 
Blank",
945,N/A,7625,7639,15,None,Parent total income,"-99999999999999 to 999999999999999 
Blank",
946,N/A,7640,7654,15,None,FISAP total income,"-99999999999999 to 999999999999999
Blank ",
947,N/A,7655,7704,50,None,Filler,For Federal Student Aid use only,
N/A,N/A,N/A,7704,N/A,None,Total Length ,N/A,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
